TIMESTAMP,ID,ORD_NUM,SPLIT_ORDER
"2024-10-04 07:17:00",210,ORD141887105,7
"2024-12-06 06:19:00",211,ORD101808105,101
"2024-12-01 13:05:00",212,ORD170838105,18
"2024-12-01 13:05:00",213,ORD190838105,11
"2024-12-01 13:06:00",214,ORD101838105,22
"2024-12-01 13:06:00",215,ORD141838105,5
"2024-12-01 13:08:00",216,ORD191838105,66
"2024-12-01 13:08:00",217,ORD122838105,4
"2024-11-22 07:02:00",218,ORD183838105,121
"2024-12-23 05:58:00",219,ORD194838105,16
"2024-12-10 05:13:00",220,ORD105838105,24
"2024-12-23 05:30:00",221,ORD125838105,24
"2024-12-23 06:21:00",222,ORD145838105,23
"2024-12-06 06:14:00",223,ORD136838105,123
"2024-12-10 08:54:00",224,ORD122848105,26
"2024-12-06 06:16:00",225,ORD129848105,71
"2024-09-11 07:02:00",226,ORD175836105,25
"2024-09-11 07:03:00",227,ORD195836105,4
"2024-08-02 11:09:00",228,ORD110856105,242
"2024-08-20 12:39:00",229,ORD153866105,28
"2024-08-20 12:47:00",230,ORD193866105,8
"2024-08-20 12:45:00",231,ORD114866105,15
"2024-09-11 07:03:00",232,ORD190876105,9
"2024-08-20 12:52:00",233,ORD181886105,4
"2024-08-19 04:57:00",234,ORD123886105,772
"2024-08-03 06:14:00",235,ORD143847105,591
"2024-08-05 06:49:00",236,ORD140867105,33
"2024-08-02 11:25:00",237,ORD160867105,82
"2024-08-03 06:18:00",238,ORD170867105,82
"2024-08-02 11:28:00",239,ORD111867105,61
"2024-08-26 12:52:00",240,ORD131867105,61
"2024-08-02 11:05:00",241,ORD141867105,1062
"2024-08-02 11:00:00",242,ORD151867105,857
"2024-08-03 06:17:00",243,ORD173867105,137
"2024-08-20 12:39:00",244,ORD195867105,16
"2024-08-20 12:42:00",245,ORD106867105,12
"2024-08-20 12:45:00",246,ORD146867105,3
"2025-02-10 06:32:00",247,ORD130808105,13
"2025-02-10 06:33:00",248,ORD127818105,5
"2025-02-10 06:34:00",249,ORD121818105,33
"2024-04-30 11:47:00",250,ORD133895105,9
"2024-04-30 11:52:00",251,ORD143895105,10
"2024-04-30 11:46:00",252,ORD153895105,13
"2024-04-30 11:47:00",253,ORD163895105,11
"2024-04-30 11:56:00",254,ORD173895105,6
"2024-04-30 11:56:00",255,ORD183895105,9
"2024-04-30 11:57:00",256,ORD193895105,11
"2024-04-30 11:57:00",257,ORD104895105,9
"2024-04-30 11:59:00",258,ORD114895105,7
"2024-04-30 11:59:00",259,ORD124895105,11
"2024-04-30 11:59:00",260,ORD134895105,13
"2024-04-30 11:59:00",261,ORD144895105,13
"2024-04-30 11:57:00",262,ORD154895105,7
"2024-04-30 11:58:00",263,ORD164895105,9
"2024-04-30 11:58:00",264,ORD174895105,9
"2024-04-30 11:58:00",265,ORD184895105,10
"2024-04-30 12:00:00",266,ORD194895105,4
"2024-04-30 12:00:00",267,ORD115895105,4
"2024-04-30 12:00:00",268,ORD125895105,4
