TIMESTAMP,ID,ORD_NUM,AWB_BILL_NO,INVOICE_NO,SHIP_DATE
"2024-06-27 11:36:00",1529,ORD140836105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:37:00",1530,ORD127845105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:37:00",1531,ORD112836105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:37:00",1532,ORD132836105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:38:00",1533,ORD107845105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:38:00",1534,ORD195826105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:39:00",1535,ORD150836105,XXXXXXXXXXXXXXXX,IN60820010,2024-02-28
"2024-06-27 11:42:00",1536,ORD161845105,XXXXXXXXXXXXXXXX,IN68810010,2024-03-05
"2024-06-28 07:17:00",1537,ORD139836105,XXXXXXXXXXXXXXXX,IN88810010,2024-03-12
"2024-06-28 07:17:00",1538,ORD149836105,XXXXXXXXXXXXXXXX,IN98810010,2024-03-12
"2024-06-28 07:17:00",1539,ORD159836105,XXXXXXXXXXXXXXXX,IN09810010,2024-03-12
"2024-06-28 07:18:00",1540,ORD131866105,XXXXXXXXXXXXXXXX,IN39810010,2024-03-12
"2024-06-28 07:18:00",1541,ORD169836105,XXXXXXXXXXXXXXXX,IN19810010,2024-03-12
"2024-06-28 07:19:00",1542,ORD141866105,XXXXXXXXXXXXXXXX,IN49810010,2024-03-12
"2024-06-28 07:19:00",1543,ORD143805105,XXXXXXXXXXXXXXXX,IN59810010,2024-03-12
"2024-06-28 07:19:00",1544,ORD151866105,XXXXXXXXXXXXXXXX,IN69810010,2024-03-12
"2024-06-28 07:19:00",1545,ORD171866105,XXXXXXXXXXXXXXXX,IN79810010,2024-03-12
"2024-06-28 07:20:00",1546,ORD123805105,XXXXXXXXXXXXXXXX,IN20820010,2024-03-12
"2024-07-01 10:21:00",1547,ORD138835105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-20
"2024-07-01 10:22:00",1548,ORD188835105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-20
"2024-07-01 10:22:00",1549,ORD178835105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-20
"2024-07-01 10:22:00",1550,ORD148835105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-20
"2024-07-01 10:23:00",1551,ORD166855105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-20
"2024-07-01 10:23:00",1552,ORD176855105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-20
"2024-07-01 10:24:00",1553,ORD194826105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-20
"2024-07-04 05:23:00",1554,ORD147826105,XXXXXXXXXXXXXXXX,IN22820010,2024-03-23
"2024-07-04 05:23:00",1555,ORD154855105,XXXXXXXXXXXXXXXX,IN22820010,2024-03-23
"2024-07-10 11:59:00",1556,ORD13988510,XXXXXXXXXXXXXXXX,IN6381001,2024-03-21
"2024-07-10 12:01:00",1557,ORD17988510,XXXXXXXXXXXXXXXX,IN0381001,2024-03-21
"2024-07-10 12:01:00",1558,ORD15988510,XXXXXXXXXXXXXXXX,IN2381001,2024-03-21
"2024-07-10 12:01:00",1559,ORD17089510,XXXXXXXXXXXXXXXX,IN7381001,2024-03-21
